results_entry	chapter	chapter_title	rule	rule_text	what_it_is	why_not_elsewhere
results/census_v5	5	How far the family reaches	T2	the instrument is explained where it is first used	census v4 plus the eukaryote-wide proteome sweep	It is the edition the range claim is read off.
results/census_v6	5	How far the family reaches	T2	the instrument is explained where it is first used	census v5 plus the non-vertebrate genomic sweep	The last edition; every later chapter reads it, none builds it.
results/constraint	11	The channel: shape, constraint and the clinic	T1	one thread of argument, from question to answer	per-residue constraint, the variant classifier and the painted structures	Chapter 12 re-uses the same per-residue tables for two modules; they are computed here.
results/duplication	7	Where ITPR1, ITPR2 and ITPR3 came from	T1	one thread of argument, from question to answer	the 2R and 3R tests, and the copy-number landscape	Chapter 8 measures tandem duplicates as a by-product of gene structure; the duplication history itself is this chapter.
results/expression	13	An archive that cannot find the gene	T2	the instrument is explained where it is first used	junction-spanning RNA-seq over the recovered loci	It exists to answer a question Chapter 13 raises and no other.
results/gene_architecture	8	The gene: exons, introns, and what a fragment is	T1	one thread of argument, from question to answer	exon and intron structure across the sweep	Chapter 13 asks whether a fragmentary annotation is real; this chapter is where the exon evidence that answers it is measured.
results/genome_ledger	4	The vertebrate genomic sweep, and what the search was worth	T1	one thread of argument, from question to answer	the 309-genome sweep ledger and its margins	Chapter 9 counts losses off the same sweep, but through S15's restated states rather than the ledger's, so the ledger is primary here.
results/genome_manifest.tsv	4	The vertebrate genomic sweep, and what the search was worth	T2	the instrument is explained where it is first used	the declared vertebrate assembly denominator (S4)	Chapter 9 rests on this denominator for its retention claim, but a denominator is declared where it is built.
results/genome_manifest_notes.md	4	The vertebrate genomic sweep, and what the search was worth	T2	the instrument is explained where it is first used	the rendered scope document for that manifest	As above.
results/hmm_sweep	3	Two families, one architecture	T2	the instrument is explained where it is first used	the two profiles, their seeds, calibration and sweep	Chapter 5 re-uses the same profiles outside the vertebrates; they are built once, here.
results/ligand_site	12	The part the ryanodine receptors do not share	T1	one thread of argument, from question to answer	the ligand core against the pore, and the upstream pathway	Chapter 11 owns constraint as a quantity; this chapter owns the one comparison that is about what the ryanodine receptors do not share.
results/loss_counts	9	Counting a loss that never happened	T1	one thread of argument, from question to answer	the Dollo counts and the sensitivity matrix	It is the second half of the same measurement.
results/loss_dynamics	9	Counting a loss that never happened	T2	the instrument is explained where it is first used	the character matrix and the loss instrument	Chapter 4's ledger records the same cells; S15 restates every one of them under a rule chain built so that exactly one state can be counted as a loss, and that restatement is this chapter.
results/methods	4	The vertebrate genomic sweep, and what the search was worth	T2	the instrument is explained where it is first used	S19 — the search measured rather than estimated	S26's proposal splits S19 across two papers (the retention paper takes the false-negative rate, the archive paper the contribution half). T4 forbids that here: the false-negative rate is a property of the search, so the whole of S19 sits with the search and Chapters 9 and 13 cite it. This is the largest departure between the two groupings and is recorded in Appendix E.
results/msa_v2	6	The alignment and the tree	T2	the instrument is explained where it is first used	the representative set, the alignment and its trim	Chapters 10, 11 and 12 all stand on `trimmed.fasta`; it is built once, here.
results/phylogeny	6	The alignment and the tree	T1	one thread of argument, from question to answer	the ML tree, the model search and the AU sister test	Chapter 7 dates the duplications the tree implies; the tree itself is this chapter.
results/reconciliation	7	Where ITPR1, ITPR2 and ITPR3 came from	T1	one thread of argument, from question to answer	gene-tree/species-tree reconciliation and the dated placement	Chapter 6 supplies the gene tree; the species tree is an input declared here.
results/s0_baseline	2	The baseline, and what it could be trusted to say	T1	one thread of argument, from question to answer	the literature audit, the database snapshot and the review's figure data	Its figure data also feeds Chapter 1, but the audit — 19 claims scored, two struck — is a result of its own and Chapter 2 is about that result.
results/s20_sweep	5	How far the family reaches	T1	one thread of argument, from question to answer	the eukaryote-wide proteome sweep and the plant/fungal chase	Chapter 3 owns the profiles; this chapter owns what they found outside the vertebrates.
results/s23_baits	5	How far the family reaches	T2	the instrument is explained where it is first used	the non-vertebrate bait panel and its measured length band	Chapter 4 holds the vertebrate panel; B2 replaces the ryanodine control with the MIR-domain sharer, which makes this a different instrument and not a reuse.
results/s23_scope	5	How far the family reaches	T1	one thread of argument, from question to answer	the 194-genome non-vertebrate sweep and the absence claims	Chapter 9's absence claims are about vertebrate paralogues; these are about whole clades, and the two use different bars.
results/s5_baits	4	The vertebrate genomic sweep, and what the search was worth	T2	the instrument is explained where it is first used	the 38-bait panel, its seven rules, screen and intron calibration	Chapter 5 builds a second panel by different rules; the two are separate instruments and each is explained where it is used.
results/selection	10	Selection across the vertebrate family	T1	one thread of argument, from question to answer	the codon alignment and every model-based selection test	Chapter 11 reads FEL rates onto the structure; the codon alignment and the codeml suite are built here.
results/structures	11	The channel: shape, constraint and the clinic	T2	the instrument is explained where it is first used	the AlphaFold coverage probe and the TM-align panel	Chapter 12 measures the ligand pocket on six depositions; the structural family call and the panel are built here.
results/supplementary	14	Methods, and the reasoning behind them	T5	a measured dead end belongs with the instrument it was measured on	the six supplementary figures and the figure audit	Its figures illustrate Chapters 6, 10, 11 and 12 and are placed there; its *result* is the audit — 26 findings, 16 legends corrected — which is a statement about how the figures were made, so the directory is primary in the methods chapter.
results/synteny	7	Where ITPR1, ITPR2 and ITPR3 came from	T2	the instrument is explained where it is first used	flanking-gene orthology and the consensus paralog caller	Chapter 9 uses the caller on trace regions and finds it cannot reach them; the caller is calibrated here.
results/toolchain_manifest.txt	14	Methods, and the reasoning behind them	T2	the instrument is explained where it is first used	the recorded version of every external tool	Every chapter shells out to something in it; it is stated once.
results/session_live.json	-	not in the thesis	-	-	the dashboard's live progress panel — transient session state, rewritten by whichever driver is running, and not a result	-
