species	organism	seq	role	cell	tissue	runs	runs_detected	reads	junction_reads	decoy_reads	reads_per_million	detected	failed_criteria	library_reads
deleginoides	Dissostichus eleginoides	RYR|deleginoides	control_family	RYR	unknown	3	1	537	300	0	22.375	1		24000000
deleginoides	Dissostichus eleginoides	hk_EEF1A1|deleginoides	housekeeping	EEF1A1	brain	1	1	6	6	0	0.75	1		8000000
deleginoides	Dissostichus eleginoides	hk_EEF1A1|deleginoides	housekeeping	EEF1A1	gill	2	0	4	2	0	0.25	0	reads<5	16000000
deleginoides	Dissostichus eleginoides	hk_EEF1A1|deleginoides	housekeeping	EEF1A1	heart	2	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	16000000
deleginoides	Dissostichus eleginoides	hk_EEF1A1|deleginoides	housekeeping	EEF1A1	intestine	1	1	11	3	0	1.375	1		8000000
deleginoides	Dissostichus eleginoides	hk_EEF1A1|deleginoides	housekeeping	EEF1A1	kidney	2	0	4	3	0	0.25	0	reads<5	16000000
deleginoides	Dissostichus eleginoides	hk_EEF1A1|deleginoides	housekeeping	EEF1A1	liver	2	1	5	2	0	0.312	1		16000000
deleginoides	Dissostichus eleginoides	hk_EEF1A1|deleginoides	housekeeping	EEF1A1	muscle	2	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	16000000
deleginoides	Dissostichus eleginoides	hk_EEF1A1|deleginoides	housekeeping	EEF1A1	ovary	1	1	11249	5166	0	1406.125	1		8000000
deleginoides	Dissostichus eleginoides	hk_EEF1A1|deleginoides	housekeeping	EEF1A1	spleen	2	1	11	4	0	0.688	1		16000000
deleginoides	Dissostichus eleginoides	hk_EEF1A1|deleginoides	housekeeping	EEF1A1	unknown	3	3	13271	4629	0	552.958	1		24000000
deleginoides	Dissostichus eleginoides	hk_GAPDH|deleginoides	housekeeping	GAPDH	brain	1	0	4	4	0	0.5	0	reads<5	8000000
deleginoides	Dissostichus eleginoides	hk_GAPDH|deleginoides	housekeeping	GAPDH	gill	2	0	2	2	0	0.125	0	reads<5	16000000
deleginoides	Dissostichus eleginoides	hk_GAPDH|deleginoides	housekeeping	GAPDH	heart	2	2	66416	57977	0	4151.0	1		16000000
deleginoides	Dissostichus eleginoides	hk_GAPDH|deleginoides	housekeeping	GAPDH	intestine	1	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	8000000
deleginoides	Dissostichus eleginoides	hk_GAPDH|deleginoides	housekeeping	GAPDH	kidney	2	1	19	18	0	1.188	1		16000000
deleginoides	Dissostichus eleginoides	hk_GAPDH|deleginoides	housekeeping	GAPDH	liver	2	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	16000000
deleginoides	Dissostichus eleginoides	hk_GAPDH|deleginoides	housekeeping	GAPDH	muscle	2	2	30495	28271	0	1905.938	1		16000000
deleginoides	Dissostichus eleginoides	hk_GAPDH|deleginoides	housekeeping	GAPDH	ovary	1	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	8000000
deleginoides	Dissostichus eleginoides	hk_GAPDH|deleginoides	housekeeping	GAPDH	spleen	2	0	4	2	0	0.25	0	reads<5	16000000
deleginoides	Dissostichus eleginoides	hk_GAPDH|deleginoides	housekeeping	GAPDH	unknown	3	2	450	396	0	18.75	1		24000000
deleginoides	Dissostichus eleginoides	hk_RPL13A|deleginoides	housekeeping	RPL13A	brain	1	1	4370	3628	0	546.25	1		8000000
deleginoides	Dissostichus eleginoides	hk_RPL13A|deleginoides	housekeeping	RPL13A	gill	2	2	30977	24532	0	1936.062	1		16000000
deleginoides	Dissostichus eleginoides	hk_RPL13A|deleginoides	housekeeping	RPL13A	heart	2	2	16800	12200	0	1050.0	1		16000000
deleginoides	Dissostichus eleginoides	hk_RPL13A|deleginoides	housekeeping	RPL13A	intestine	1	1	17100	13292	0	2137.5	1		8000000
deleginoides	Dissostichus eleginoides	hk_RPL13A|deleginoides	housekeeping	RPL13A	kidney	2	2	23318	18491	0	1457.375	1		16000000
deleginoides	Dissostichus eleginoides	hk_RPL13A|deleginoides	housekeeping	RPL13A	liver	2	2	10553	7361	0	659.562	1		16000000
deleginoides	Dissostichus eleginoides	hk_RPL13A|deleginoides	housekeeping	RPL13A	muscle	2	2	13021	10473	0	813.812	1		16000000
deleginoides	Dissostichus eleginoides	hk_RPL13A|deleginoides	housekeeping	RPL13A	ovary	1	1	9610	7520	0	1201.25	1		8000000
deleginoides	Dissostichus eleginoides	hk_RPL13A|deleginoides	housekeeping	RPL13A	spleen	2	2	20465	15084	0	1279.062	1		16000000
deleginoides	Dissostichus eleginoides	hk_RPL13A|deleginoides	housekeeping	RPL13A	unknown	3	3	25224	19146	0	1051.0	1		24000000
dmawsoni	Dissostichus mawsoni	ITPR1|dmawsoni	failed	ITPR1	brain	1	1	178	102	0	22.25	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR1|dmawsoni	failed	ITPR1	gill	1	1	255	141	0	31.875	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR1|dmawsoni	failed	ITPR1	intestine	2	2	197	107	0	12.312	1		16000000
dmawsoni	Dissostichus mawsoni	ITPR1|dmawsoni	failed	ITPR1	kidney	2	2	384	222	0	24.0	1		16000000
dmawsoni	Dissostichus mawsoni	ITPR1|dmawsoni	failed	ITPR1	liver	1	1	138	72	0	17.25	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR1|dmawsoni	failed	ITPR1	muscle	2	2	323	189	0	20.188	1		16000000
dmawsoni	Dissostichus mawsoni	ITPR1|dmawsoni	failed	ITPR1	ovary	1	1	32	17	0	4.0	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR1|dmawsoni	failed	ITPR1	skin	1	1	93	55	0	11.625	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR1|dmawsoni	failed	ITPR1	spleen	1	1	482	270	0	60.25	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR1|dmawsoni	failed	ITPR1	unknown	5	5	586	338	0	14.65	1		40000000
dmawsoni	Dissostichus mawsoni	ITPR2|dmawsoni	failed	ITPR2	brain	1	1	254	156	0	31.75	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR2|dmawsoni	failed	ITPR2	gill	1	1	662	403	0	82.75	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR2|dmawsoni	failed	ITPR2	intestine	2	2	934	548	0	58.375	1		16000000
dmawsoni	Dissostichus mawsoni	ITPR2|dmawsoni	failed	ITPR2	kidney	2	2	1051	619	0	65.688	1		16000000
dmawsoni	Dissostichus mawsoni	ITPR2|dmawsoni	failed	ITPR2	liver	1	1	128	72	0	16.0	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR2|dmawsoni	failed	ITPR2	muscle	2	2	155	93	0	9.688	1		16000000
dmawsoni	Dissostichus mawsoni	ITPR2|dmawsoni	failed	ITPR2	ovary	1	1	26	17	0	3.25	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR2|dmawsoni	failed	ITPR2	skin	1	1	705	374	0	88.125	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR2|dmawsoni	failed	ITPR2	spleen	1	1	653	397	0	81.625	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR2|dmawsoni	failed	ITPR2	unknown	5	5	927	544	0	23.175	1		40000000
dmawsoni	Dissostichus mawsoni	ITPR3|dmawsoni	failed	ITPR3	brain	1	1	119	71	0	14.875	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR3|dmawsoni	failed	ITPR3	gill	1	1	536	333	0	67.0	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR3|dmawsoni	failed	ITPR3	intestine	2	2	1458	918	0	91.125	1		16000000
dmawsoni	Dissostichus mawsoni	ITPR3|dmawsoni	failed	ITPR3	kidney	2	2	707	486	0	44.188	1		16000000
dmawsoni	Dissostichus mawsoni	ITPR3|dmawsoni	failed	ITPR3	liver	1	1	13	7	0	1.625	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR3|dmawsoni	failed	ITPR3	muscle	2	2	94	51	0	5.875	1		16000000
dmawsoni	Dissostichus mawsoni	ITPR3|dmawsoni	failed	ITPR3	ovary	1	0	2	0	0	0.25	0	junction_reads<2;reads<5	8000000
dmawsoni	Dissostichus mawsoni	ITPR3|dmawsoni	failed	ITPR3	skin	1	1	952	584	0	119.0	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR3|dmawsoni	failed	ITPR3	spleen	1	1	435	278	0	54.375	1		8000000
dmawsoni	Dissostichus mawsoni	ITPR3|dmawsoni	failed	ITPR3	unknown	5	5	719	461	0	17.975	1		40000000
dmawsoni	Dissostichus mawsoni	RYR|dmawsoni	control_family	RYR	brain	1	1	182	119	0	22.75	1		8000000
dmawsoni	Dissostichus mawsoni	RYR|dmawsoni	control_family	RYR	gill	1	0	4	3	0	0.5	0	reads<5	8000000
dmawsoni	Dissostichus mawsoni	RYR|dmawsoni	control_family	RYR	intestine	2	2	24	14	0	1.5	1		16000000
dmawsoni	Dissostichus mawsoni	RYR|dmawsoni	control_family	RYR	kidney	2	2	69	38	0	4.312	1		16000000
dmawsoni	Dissostichus mawsoni	RYR|dmawsoni	control_family	RYR	liver	1	1	34	21	0	4.25	1		8000000
dmawsoni	Dissostichus mawsoni	RYR|dmawsoni	control_family	RYR	muscle	2	0	1	0	0	0.062	0	junction_reads<2;reads<5	16000000
dmawsoni	Dissostichus mawsoni	RYR|dmawsoni	control_family	RYR	ovary	1	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	8000000
dmawsoni	Dissostichus mawsoni	RYR|dmawsoni	control_family	RYR	skin	1	1	8	5	0	1.0	1		8000000
dmawsoni	Dissostichus mawsoni	RYR|dmawsoni	control_family	RYR	spleen	1	1	23	15	0	2.875	1		8000000
dmawsoni	Dissostichus mawsoni	RYR|dmawsoni	control_family	RYR	unknown	5	2	220	141	0	5.5	1		40000000
dmawsoni	Dissostichus mawsoni	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1	brain	1	1	384	119	0	48.0	1		8000000
dmawsoni	Dissostichus mawsoni	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1	gill	1	0	3	0	0	0.375	0	junction_reads<2;reads<5	8000000
dmawsoni	Dissostichus mawsoni	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1	intestine	2	1	47	12	0	2.938	1		16000000
dmawsoni	Dissostichus mawsoni	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1	kidney	2	0	3	0	0	0.188	0	junction_reads<2;reads<5	16000000
dmawsoni	Dissostichus mawsoni	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1	liver	1	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	8000000
dmawsoni	Dissostichus mawsoni	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1	muscle	2	0	2	1	0	0.125	0	junction_reads<2;reads<5	16000000
dmawsoni	Dissostichus mawsoni	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1	ovary	1	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	8000000
dmawsoni	Dissostichus mawsoni	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1	skin	1	0	3	1	0	0.375	0	junction_reads<2;reads<5	8000000
dmawsoni	Dissostichus mawsoni	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1	spleen	1	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	8000000
dmawsoni	Dissostichus mawsoni	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1	unknown	5	1	384	119	0	9.6	1		40000000
dmawsoni	Dissostichus mawsoni	hk_GAPDH|dmawsoni	housekeeping	GAPDH	brain	1	0	2	2	0	0.25	0	reads<5	8000000
dmawsoni	Dissostichus mawsoni	hk_GAPDH|dmawsoni	housekeeping	GAPDH	gill	1	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	8000000
dmawsoni	Dissostichus mawsoni	hk_GAPDH|dmawsoni	housekeeping	GAPDH	intestine	2	0	5	5	0	0.312	1		16000000
dmawsoni	Dissostichus mawsoni	hk_GAPDH|dmawsoni	housekeeping	GAPDH	kidney	2	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	16000000
dmawsoni	Dissostichus mawsoni	hk_GAPDH|dmawsoni	housekeeping	GAPDH	liver	1	0	1	1	0	0.125	0	junction_reads<2;reads<5	8000000
dmawsoni	Dissostichus mawsoni	hk_GAPDH|dmawsoni	housekeeping	GAPDH	muscle	2	2	11280	10482	0	705.0	1		16000000
dmawsoni	Dissostichus mawsoni	hk_GAPDH|dmawsoni	housekeeping	GAPDH	ovary	1	0	1	1	0	0.125	0	junction_reads<2;reads<5	8000000
dmawsoni	Dissostichus mawsoni	hk_GAPDH|dmawsoni	housekeeping	GAPDH	skin	1	0	4	4	0	0.5	0	reads<5	8000000
dmawsoni	Dissostichus mawsoni	hk_GAPDH|dmawsoni	housekeeping	GAPDH	spleen	1	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	8000000
dmawsoni	Dissostichus mawsoni	hk_GAPDH|dmawsoni	housekeeping	GAPDH	unknown	5	2	21552	20248	0	538.8	1		40000000
dmawsoni	Dissostichus mawsoni	hk_RPL13A|dmawsoni	housekeeping	RPL13A	brain	1	1	3514	3192	0	439.25	1		8000000
dmawsoni	Dissostichus mawsoni	hk_RPL13A|dmawsoni	housekeeping	RPL13A	gill	1	1	5252	4808	0	656.5	1		8000000
dmawsoni	Dissostichus mawsoni	hk_RPL13A|dmawsoni	housekeeping	RPL13A	intestine	2	2	11458	10276	0	716.125	1		16000000
dmawsoni	Dissostichus mawsoni	hk_RPL13A|dmawsoni	housekeeping	RPL13A	kidney	2	2	10437	9400	0	652.312	1		16000000
dmawsoni	Dissostichus mawsoni	hk_RPL13A|dmawsoni	housekeeping	RPL13A	liver	1	1	4625	4191	0	578.125	1		8000000
dmawsoni	Dissostichus mawsoni	hk_RPL13A|dmawsoni	housekeeping	RPL13A	muscle	2	2	8685	8030	0	542.812	1		16000000
dmawsoni	Dissostichus mawsoni	hk_RPL13A|dmawsoni	housekeeping	RPL13A	ovary	1	1	4572	4101	0	571.5	1		8000000
dmawsoni	Dissostichus mawsoni	hk_RPL13A|dmawsoni	housekeeping	RPL13A	skin	1	1	9786	9170	0	1223.25	1		8000000
dmawsoni	Dissostichus mawsoni	hk_RPL13A|dmawsoni	housekeeping	RPL13A	spleen	1	1	4401	4026	0	550.125	1		8000000
dmawsoni	Dissostichus mawsoni	hk_RPL13A|dmawsoni	housekeeping	RPL13A	unknown	5	5	24594	22333	0	614.85	1		40000000
nalbiflora	Nibea albiflora	ITPR1|nalbiflora	control_paralog	ITPR1	gill	2	2	164	134	0	10.25	1		16000000
nalbiflora	Nibea albiflora	ITPR1|nalbiflora	control_paralog	ITPR1	kidney	4	4	708	536	0	22.125	1		32000000
nalbiflora	Nibea albiflora	ITPR1|nalbiflora	control_paralog	ITPR1	liver	4	4	859	684	0	26.844	1		32000000
nalbiflora	Nibea albiflora	ITPR1|nalbiflora	control_paralog	ITPR1	muscle	2	2	68	56	0	4.25	1		16000000
nalbiflora	Nibea albiflora	ITPR1|nalbiflora	control_paralog	ITPR1	spleen	2	2	1279	1020	0	79.938	1		16000000
nalbiflora	Nibea albiflora	ITPR1|nalbiflora	control_paralog	ITPR1	testis	7	7	608	477	0	10.857	1		56000000
nalbiflora	Nibea albiflora	ITPR1|nalbiflora	control_paralog	ITPR1	unknown	11	11	1621	1230	0	18.42	1		88000000
nalbiflora	Nibea albiflora	ITPR2|nalbiflora	failed	ITPR2	gill	2	2	521	415	0	32.562	1		16000000
nalbiflora	Nibea albiflora	ITPR2|nalbiflora	failed	ITPR2	kidney	4	3	410	284	0	12.812	1		32000000
nalbiflora	Nibea albiflora	ITPR2|nalbiflora	failed	ITPR2	liver	4	4	925	718	0	28.906	1		32000000
nalbiflora	Nibea albiflora	ITPR2|nalbiflora	failed	ITPR2	muscle	2	2	92	68	0	5.75	1		16000000
nalbiflora	Nibea albiflora	ITPR2|nalbiflora	failed	ITPR2	spleen	2	2	1161	934	0	72.562	1		16000000
nalbiflora	Nibea albiflora	ITPR2|nalbiflora	failed	ITPR2	testis	7	7	351	300	0	6.268	1		56000000
nalbiflora	Nibea albiflora	ITPR2|nalbiflora	failed	ITPR2	unknown	11	11	2212	1623	0	25.136	1		88000000
nalbiflora	Nibea albiflora	ITPR3|nalbiflora	control_paralog	ITPR3	gill	2	2	433	358	0	27.062	1		16000000
nalbiflora	Nibea albiflora	ITPR3|nalbiflora	control_paralog	ITPR3	kidney	4	3	311	201	0	9.719	1		32000000
nalbiflora	Nibea albiflora	ITPR3|nalbiflora	control_paralog	ITPR3	liver	4	4	315	245	42	9.844	1		32000000
nalbiflora	Nibea albiflora	ITPR3|nalbiflora	control_paralog	ITPR3	muscle	2	2	51	37	0	3.188	1		16000000
nalbiflora	Nibea albiflora	ITPR3|nalbiflora	control_paralog	ITPR3	spleen	2	2	1443	1153	0	90.188	1		16000000
nalbiflora	Nibea albiflora	ITPR3|nalbiflora	control_paralog	ITPR3	testis	7	7	856	712	0	15.286	1		56000000
nalbiflora	Nibea albiflora	ITPR3|nalbiflora	control_paralog	ITPR3	unknown	11	11	1931	1479	0	21.943	1		88000000
nalbiflora	Nibea albiflora	RYR|nalbiflora	control_family	RYR	gill	2	0	4	4	0	0.25	0	reads<5	16000000
nalbiflora	Nibea albiflora	RYR|nalbiflora	control_family	RYR	kidney	4	2	90	66	0	2.812	1		32000000
nalbiflora	Nibea albiflora	RYR|nalbiflora	control_family	RYR	liver	4	4	132	104	0	4.125	1		32000000
nalbiflora	Nibea albiflora	RYR|nalbiflora	control_family	RYR	muscle	2	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	16000000
nalbiflora	Nibea albiflora	RYR|nalbiflora	control_family	RYR	spleen	2	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	16000000
nalbiflora	Nibea albiflora	RYR|nalbiflora	control_family	RYR	testis	7	7	888	744	0	15.857	1		56000000
nalbiflora	Nibea albiflora	RYR|nalbiflora	control_family	RYR	unknown	11	10	439	363	0	4.989	1		88000000
nalbiflora	Nibea albiflora	hk_EEF1A1|nalbiflora	housekeeping	EEF1A1	gill	2	1	10	6	0	0.625	1		16000000
nalbiflora	Nibea albiflora	hk_EEF1A1|nalbiflora	housekeeping	EEF1A1	kidney	4	2	157	72	0	4.906	1		32000000
nalbiflora	Nibea albiflora	hk_EEF1A1|nalbiflora	housekeeping	EEF1A1	liver	4	0	7	3	0	0.219	1		32000000
nalbiflora	Nibea albiflora	hk_EEF1A1|nalbiflora	housekeeping	EEF1A1	muscle	2	0	4	3	0	0.25	0	reads<5	16000000
nalbiflora	Nibea albiflora	hk_EEF1A1|nalbiflora	housekeeping	EEF1A1	spleen	2	1	8	5	0	0.5	1		16000000
nalbiflora	Nibea albiflora	hk_EEF1A1|nalbiflora	housekeeping	EEF1A1	testis	7	6	65	36	0	1.161	1		56000000
nalbiflora	Nibea albiflora	hk_EEF1A1|nalbiflora	housekeeping	EEF1A1	unknown	11	8	196	114	0	2.227	1		88000000
nalbiflora	Nibea albiflora	hk_GAPDH|nalbiflora	housekeeping	GAPDH	gill	2	2	2935	2899	0	183.438	1		16000000
nalbiflora	Nibea albiflora	hk_GAPDH|nalbiflora	housekeeping	GAPDH	kidney	4	2	6974	6760	0	217.938	1		32000000
nalbiflora	Nibea albiflora	hk_GAPDH|nalbiflora	housekeeping	GAPDH	liver	4	2	3601	3538	0	112.531	1		32000000
nalbiflora	Nibea albiflora	hk_GAPDH|nalbiflora	housekeeping	GAPDH	muscle	2	2	15279	15045	0	954.938	1		16000000
nalbiflora	Nibea albiflora	hk_GAPDH|nalbiflora	housekeeping	GAPDH	spleen	2	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	16000000
nalbiflora	Nibea albiflora	hk_GAPDH|nalbiflora	housekeeping	GAPDH	testis	7	7	299	296	0	5.339	1		56000000
nalbiflora	Nibea albiflora	hk_GAPDH|nalbiflora	housekeeping	GAPDH	unknown	11	11	33955	33109	0	385.852	1		88000000
nalbiflora	Nibea albiflora	hk_RPL13A|nalbiflora	housekeeping	RPL13A	gill	2	2	12359	11548	0	772.438	1		16000000
nalbiflora	Nibea albiflora	hk_RPL13A|nalbiflora	housekeeping	RPL13A	kidney	4	4	26972	23532	0	842.875	1		32000000
nalbiflora	Nibea albiflora	hk_RPL13A|nalbiflora	housekeeping	RPL13A	liver	4	4	21050	19998	0	657.812	1		32000000
nalbiflora	Nibea albiflora	hk_RPL13A|nalbiflora	housekeeping	RPL13A	muscle	2	2	8059	7052	0	503.688	1		16000000
nalbiflora	Nibea albiflora	hk_RPL13A|nalbiflora	housekeeping	RPL13A	spleen	2	2	20609	19335	0	1288.062	1		16000000
nalbiflora	Nibea albiflora	hk_RPL13A|nalbiflora	housekeeping	RPL13A	testis	7	7	32697	29505	0	583.875	1		56000000
nalbiflora	Nibea albiflora	hk_RPL13A|nalbiflora	housekeeping	RPL13A	unknown	11	11	127385	109020	0	1447.557	1		88000000
